docId;query_id;label
doc_14219;1;1
doc_9441;1;1
doc_23083;1;0
doc_1441;1;1
doc_38114;1;0
doc_32642;1;1
doc_44921;1;1
doc_5957;1;1
doc_10526;1;1
doc_42875;1;0
doc_8853;2;0
doc_44534;2;1
doc_6245;2;0
doc_3200;2;1
doc_20612;2;1
doc_3224;2;0
doc_218;2;1
doc_20612;2;1
doc_154;2;1
doc_7886;2;0
doc_24885;3;1
doc_7705;3;1
doc_17699;3;1
doc_779;3;1
doc_35481;3;0
doc_16176;3;1
doc_19329;3;0
doc_348;3;1
doc_7725;3;1
doc_7652;3;0
0.73752;4;0
doc_25989;4;1
doc_46425;4;0
doc_41733;4;1
doc_38845;4;0
doc_17395;4;1
doc_21757;4;0
doc_9703;4;1
doc_44244;4;1
doc_46237;4;0
doc_22998;5;1
doc_4340;5;1
doc_7040;5;1
doc_30753;5;0
doc_10456;5;1
doc_10404;5;0
doc_33113;5;0
